gene_id,p_value,auc_single,neg_log10_p
HSPB8,0.38552017440103636,0.5333683657383079,0.4139528902413193
VARS1_2,0.3861634605626888,0.5342091434576983,0.41322882228821994
VARS1_6,0.3861634605626888,0.5342091434576983,0.41322882228821994
VARS1_3,0.3861634605626888,0.5342091434576983,0.41322882228821994
VARS1,0.3861634605626888,0.5342091434576983,0.41322882228821994
VARS1_1,0.3861634605626888,0.5342091434576983,0.41322882228821994
VARS1_4,0.3861634605626888,0.5342091434576983,0.41322882228821994
VARS1_5,0.3861634605626888,0.5342091434576983,0.41322882228821994
TPST1,0.3863712270400145,0.531161324224908,0.4129952228440772
USP10,0.38651487561273545,0.5388334209143457,0.4128337869404681
BSPRY,0.3865153564375464,0.5388334209143457,0.4128332466781251
MAPK14,0.3865153564375464,0.5388334209143457,0.4128332466781251
AP2A2_2,0.3865153564375464,0.5388334209143457,0.4128332466781251
AP2A2_1,0.3865153564375464,0.5388334209143457,0.4128332466781251
AP2A2,0.3865153564375464,0.5388334209143457,0.4128332466781251
CCNP,0.3865153564375464,0.5388334209143457,0.4128332466781251
HNRNPCL1_1,0.3865153564375464,0.5388334209143457,0.4128332466781251
HNRNPCL1,0.3865153564375464,0.5388334209143457,0.4128332466781251
ULK1,0.3865153564375464,0.5388334209143457,0.4128332466781251
MYDGF,0.3865153564375464,0.5388334209143457,0.4128332466781251
PLCB3,0.3866537475573193,0.5084603258013662,0.412677776160762
BACH1,0.38694653433035986,0.6854440357330531,0.4123490387263163
FKBP10,0.38715905782958504,0.5387283236994219,0.41211057568912357
HIPK2,0.38768722099084585,0.5370467682606411,0.41151851404212303
CHSY1,0.38780365317943655,0.538728323699422,0.4113881041067259
UBE2Z,0.38780365317943655,0.5387283236994219,0.4113881041067259
TSC22D3,0.38780365317943655,0.538728323699422,0.4113881041067259
ITFG2,0.3878137056732369,0.6971098265895954,0.4113768466418502
HIKESHI,0.38805634339459616,0.7742511823436679,0.4111052129396606
SERPINA6,0.38810134683502995,0.7891749868628481,0.411054850117479
SERPINA6_1,0.38810134683502995,0.7891749868628481,0.411054850117479
FHL3,0.38833238994075925,0.5352601156069364,0.4107963844066037
MT1M,0.38849631047573685,0.7582764056752496,0.41061310131000894
TMCO3,0.38885370241361605,0.9475564897530215,0.4102137616178235
CLDND1,0.3889096203392577,0.5428271150814503,0.4101513137088593
MAP1S,0.38909216271440583,0.5389385181292696,0.40994751688108355
PDCD6,0.38909456353058924,0.5386232264844981,0.40994483716120306
TSPYL4,0.38909456353058924,0.5386232264844981,0.40994483716120306
ANO10,0.38909456353058924,0.5386232264844981,0.40994483716120306
IRF2,0.38909456353058924,0.5386232264844981,0.40994483716120306
RAPGEF2,0.38909456353058924,0.5386232264844981,0.40994483716120306
C1orf105,0.3893845101226837,0.8964792433000526,0.40962132888698566
CDHR2,0.3895150626965517,0.8251182343667893,0.4094757433328561
EXTL1,0.3895363141609709,0.7296899632159748,0.4094520494045579
GUCY1B2,0.3896237411676571,0.9636363636363636,0.40935458787153195
WFDC2,0.39033349907290416,0.5372569626904887,0.40856417524140926
TIMP3,0.3903880856695162,0.5385181292695743,0.40850344512148834
IQSEC1,0.3903880856695162,0.5385181292695743,0.40850344512148834
SCO2,0.3903880856695162,0.5385181292695743,0.40850344512148834
MAFG,0.3903880856695162,0.5385181292695743,0.40850344512148834
PDLIM5,0.3903880856695162,0.5385181292695744,0.40850344512148834
WFDC1,0.3909524074133054,0.500578034682081,0.4078761082200212
CDK10,0.39115672969355963,0.5186547556489753,0.4076491934925158
PKNOX1,0.39129414746618296,0.5173935890698896,0.40749664773476557
CBLIF,0.3912962490414592,0.9818181818181818,0.40749431521816465
